page,2013-04 pi,2013-04 pv,2013-05 pi,2013-05 pv,2013-06 pi,2013-06 pv,2013-07 pi,2013-07 pv,2013-08 pi,2013-08 pv,2013-09 pi,2013-09 pv,2013-10 pi,2013-10 pv,2013-11 pi,2013-11 pv,2013-12 pi,2013-12 pv,2014-01 pi,2014-01 pv,2014-02 pi,2014-02 pv,2014-03 pi,2014-03 pv,2014-04 pi,2014-04 pv,2014-05 pi,2014-05 pv,2014-06 pi,2014-06 pv,2014-07 pi,2014-07 pv,2014-08 pi,2014-08 pv,2014-09 pi,2014-09 pv,2014-10 pi,2014-10 pv,2014-11 pi,2014-11 pv,2014-12 pi,2014-12 pv,2015-01 pi,2015-01 pv,2015-02 pi,2015-02 pv,2015-03 pi,2015-03 pv,2015-04 pi,2015-04 pv,2015-05 pi,2015-05 pv,2015-06 pi,2015-06 pv,2015-07 pi,2015-07 pv,2015-08 pi,2015-08 pv,2015-09 pi,2015-09 pv,2015-10 pi,2015-10 pv,2015-11 pi,2015-11 pv,2015-12 pi,2015-12 pv,2016-01 pi,2016-01 pv,2016-02 pi,2016-02 pv,2016-03 pi,2016-03 pv,2016-04 pi,2016-04 pv,2016-05 pi,2016-05 pv,2016-06 pi,2016-06 pv,2016-07 pi,2016-07 pv,2016-08 pi,2016-08 pv,2016-09 pi,2016-09 pv,2016-10 pi,2016-10 pv,2016-11 pi,2016-11 pv,2016-12 pi,2016-12 pv,2017-01 pi,2017-01 pv,2017-02 pi,2017-02 pv,2017-03 pi,2017-03 pv,2017-04 pi,2017-04 pv,2017-05 pi,2017-05 pv,2017-06 pi,2017-06 pv,2017-07 pi,2017-07 pv,2017-08 pi,2017-08 pv,2017-09 pi,2017-09 pv,2017-10 pi,2017-10 pv,2017-11 pi,2017-11 pv,2017-12 pi,2017-12 pv,2018-01 pi,2018-01 pv,2018-02 pi,2018-02 pv,2018-03 pi,2018-03 pv,2018-04 pi,2018-04 pv,2018-05 pi,2018-05 pv,2018-06 pi,2018-06 pv,2018-07 pi,2018-07 pv,2018-08 pi,2018-08 pv,2018-09 pi,2018-09 pv,2018-10 pi,2018-10 pv,2018-11 pi,2018-11 pv,2018-12 pi,2018-12 pv,2019-01 pi,2019-01 pv,2019-02 pi,2019-02 pv,2019-03 pi,2019-03 pv,2019-04 pi,2019-04 pv,2019-05 pi,2019-05 pv,2019-06 pi,2019-06 pv,2019-07 pi,2019-07 pv,2019-08 pi,2019-08 pv,2019-09 pi,2019-09 pv,2019-10 pi,2019-10 pv
vbb-fahrplandaten-april-bis-dezember-2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,24,176,143,27,26,17,16,13,12,9,9,14,5,12,11,8,7,4,4,2,2,2,2,1,1,2,2,6,6,1,1,2,2,3,3,,,1,1,3,3,2,2,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moorgebiete-und-bodentypen-umweltatlas-wms-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wohnatlas-berlin-anteil-der-einwohner-mit-mind-einj%C3%A4hriger-wohndauer-2009-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
strat-l%C3%A4rmkarte-gesamtl%C3%A4rmindex-ln-nacht-raster-2017-ua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,5,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
klimamodell-berlin-klimaanalysekarte-2015-kaltluftabfluss-umweltatlas-wfs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanierungsgebiete-wfs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
standardlastprofil-speicherheizung-berlin,,,,,13,10,2,2,,,,,,,,,1,1,4,4,4,4,2,2,1,1,1,1,1,1,2,2,,,,,,,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,,,,,,3,3,5,4,2,1,4,3,,,3,1,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gew%C3%A4sserkarte-atom-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baumbestand-berlin-stra%C3%9Fenb%C3%A4ume-wfs-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gesundheitsberichterstattung-berlin-gesundheitsindikator-67-dialyseeinrichtungen-land-im,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vbb-%C2%AD%E2%80%90fahrplandaten-%C2%AD%E2%80%90dezember-%C2%AD%E2%80%902014-%C2%AD%E2%80%90bis-%C2%AD%E2%80%90dezember-%C2%AD%E2%80%902015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detailnetz-verbindungspunkte-wfs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,13,10,11,11,22,18,13,13,5,4,3,3,7,5,7,5,3,1,,,6,6,6,6,6,6,9,9,,,,,,,,,,,,,,,,,,,1,1,7,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
berlin-um-1986-wms-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
digitale-farbige-orthophotos-2016-dop20rgb-atom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,3,4,1,13,11,14,10,9,8,7,7,6,6,5,5,4,4,,,1,1,2,2,2,2,,,3,2,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gesundheitsberichterstattung-berlin-spezialberichte-krebs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wohnlagen-nach-adressen-zum-berliner-mietspiegel-2015-wfs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,10,5,1,1,2,2,3,3,1,1,3,2,12,9,2,2,1,1,2,2,4,4,,,,,,,,,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wohnatlas-berlin-anteil-st%C3%A4dt-wohnungsbaugesell-am-wohnungsbestand-2008-wms-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
auswahl-gesch%C3%BCtzter-festpunkte-von-berlin-wfs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adressen-berlin-wfs-0](https:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
polizeidirektionen-und-polizeiabschnitte-wms-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gr%C3%BCn-und-freifl%C3%A4chenbestand-2010-umweltatlas-wfs-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sozialstatistisches-berichtswesen-berlin-sozialgesetzbuch-xii-sgb-xii-ab-2005-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,,,,,,,,,,,,,2,2,,,2,2,2,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wlan-standorte-berlin,189,154,107,87,129,82,47,46,42,38,51,45,60,52,71,62,21,19,39,35,56,50,41,36,24,23,38,33,34,32,39,37,30,29,18,16,47,42,113,100,60,55,62,57,51,49,31,28,50,49,33,30,20,13,8,6,,,,,,,,,,,,,1,1,6,4,3,3,6,3,,,2,2,,,,,,,2,2,2,1,2,2,1,1,3,2,3,2,,,,,,,2,1,,,3,2,1,1,,,2,2,5,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gesundheitsberichterstattung-berlin-gesundheitszustand-der-bev%C3%B6lkerung-krankheiten-des-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,5,4,,,1,1,,,,,,,1,1,,,3,2,,,,,9,5,,,3,2,1,1,,,,,,,,,,,,,2,2,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gesundheitsberichterstattung-berlin-inanspruchnahme-von-leistungen-der-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gesundheitsberichterstattung-berlin-gesundheitsindikator-35-vorzeitige-sterblichkeit-bis,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,,,,,,,,,2,1,1,1,2,2,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
verkehrsbedingte-luftbelastung-im-stra%C3%9Fenraum-2015-und-2020-umweltatlas-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
luftbilder-1928-ma%C3%9Fstab-14-000-wms-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
landesentwicklungsplan-flughafenstandortentwicklung-lep-fs-vom-30-mai-2006-wms-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vbb-fahrplan-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grundschuleinzugsbereiche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baumbestand-berlin-anlagenb%C3%A4ume-wfs-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
st%C3%A4dtebauliche-dichte-geschossfl%C3%A4chenzahl-gfz-2008-lor-wms-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stadtstruktur-2001-umweltatlas-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
berliner-betriebskosten%C3%BCbersicht-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gesundheitsberichterstattung-berlin-gesundheitsindikator-620-station%C3%A4re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gesundheitsberichterstattung-berlin-kontext-einschulungsuntersuchung-berlin-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,14,,,,,,,1,1,,,1,1,1,1,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geografische-bezeichnungen-im-inspire-datenmodell-atom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vb,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bodenrichtwerte-01012009-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bodenrichtwerte-01012018-wms-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gesundheitsberichterstattung-berlin-gesundheitszustand-der-bev%C3%B6lkerung-allgemeine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,1,1,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openstreetmap5daten5f%C3%BCr5berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
berliner-advents-und-weihnachtsm%C3%A4rkte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,21,175,139,66,51,6,5,2,2,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gew%C3%A4sserverzeichnis-wfs-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wohnlagen-zum-berliner-mietspiegel-2017-wfs-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,7,5,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
statusindex-2013-wms-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%C3%B6ffentliche-beleuchtung-wfs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,1,1,1,1,17,12,2,2,9,5,4,4,1,1,5,5,9,7,1,1,6,6,1,1,3,2,3,3,1,1,4,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
los12018-berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,11,6,6,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flurst%C3%BCcke-im-inspire-datenmodell-wms-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gesundheitsberichterstattung-berlin-gesundheitsindikator-78-karies-prophylaxe-bei,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
strat-l%C3%A4rmkarte-ln-nacht-index-flugverkehr-ber-prognose-2015-ua-atom-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sozialstatistisches-berichtswesen-berlin-statistische-kurzinformationen-leistungen-nach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rbs-adressen-dezember-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baumbestand-berlin-stra%C3%9Fenb%C3%A4ume-wfs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,9,19,16,23,19,22,19,17,16,13,10,6,5,12,8,14,10,8,7,3,3,8,8,7,6,12,9,13,10,6,6,15,14,3,2,,,,,,,,,,,6,3,5,5,3,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gesundheitsberichterstattung-berlin-kontext-sozialstrukturatlas-berlin-2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,2,2,,,,,,,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,1,1,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geb%C3%A4udesch%C3%A4den-1945-wms-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
liste-der-hÃ¤ufigen-vornamen-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
verlauf-der-berliner-mauer-1989-wms-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
standardlastprofil-gewerbe-allgemein-2014-berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,1,1,1,1,,,,,,,,,,,4,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
status-index-2015-lor-wms-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moore-moorteilfl%C3%A4chen-umweltatlas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
digitale-topographische-karte-1-10-000-dtk10-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,6,6,4,4,9,7,7,5,24,19,5,5,11,11,7,6,5,5,17,16,20,18,44,35,49,41,72,64,90,76,98,84,100,91,89,79,59,56,98,87,116,101,105,90,135,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
